gene	n_pairs_any	n_variants_any	median_tumor_AF	median_tumor_DP	median_normal_AF	median_normal_DP	pairs_any	caution_reason_symbol	n_pairs_high	n_high	n_pairs_moderate	n_moderate	n_pairs_low	n_low	n_pairs_modifier	n_modifier	n_pairs_low_splice_region	n_low_splice_region	n_pairs_functional_strict	n_functional_strict	n_pairs_functional_extended	n_functional_extended	has_symbol_caution	caution_reason_data	caution_reason	has_caution_flag	unbiased_somatic_gene_score	unbiased_somatic_gene_score_caution_adjusted
TP53	9	10	0.202	148.5	0.0175	87.0	candidate_kenya_pair_001,candidate_kenya_pair_002,candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_007,candidate_kenya_pair_008,candidate_kenya_pair_012,candidate_kenya_pair_015,candidate_kenya_pair_018	.	6	6	3	3	0	0	1	1	0	0	8	9	8	9	False	.	.	False	69	69
MUC5B	10	18	0.2025	119.0	0.019	69.0	candidate_kenya_pair_001,candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_019,candidate_kenya_pair_021	.	0	0	7	11	1	4	3	3	0	0	7	11	7	11	False	.	.	False	46	46
TTN	9	21	0.131	135.0	0.018	81.0	candidate_kenya_pair_003,candidate_kenya_pair_005,candidate_kenya_pair_006,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_018,candidate_kenya_pair_020,candidate_kenya_pair_021	.	1	1	6	7	4	6	6	7	1	1	6	8	6	9	False	.	.	False	43	43
EML5	6	6	0.064	70.5	0.036000000000000004	39.0	candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_015,candidate_kenya_pair_021	.	1	1	5	5	0	0	0	0	0	0	6	6	6	6	False	.	.	False	39	39
MUC12	4	12	0.1845	255.5	0.0075655	173.5	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_015	.	0	0	4	8	1	3	1	1	0	0	4	8	4	8	False	.	.	False	28	28
ASH1L	7	8	0.057999999999999996	145.0	0.028	50.5	candidate_kenya_pair_001,candidate_kenya_pair_003,candidate_kenya_pair_008,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_020,candidate_kenya_pair_021	.	1	1	3	3	0	0	4	4	0	0	4	4	4	4	False	.	.	False	27	27
DOCK8	8	9	0.085	64.0	0.045	31.0	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_007,candidate_kenya_pair_010,candidate_kenya_pair_012,candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_021	.	1	1	3	3	0	0	5	5	0	0	4	4	4	4	False	.	.	False	27	27
RHPN2	6	7	0.059	129.0	0.026	56.0	candidate_kenya_pair_008,candidate_kenya_pair_014,candidate_kenya_pair_015,candidate_kenya_pair_017,candidate_kenya_pair_019,candidate_kenya_pair_021	.	3	3	0	0	0	0	3	4	0	0	3	3	3	3	False	.	.	False	27	27
KMT2C	12	17	0.136	34.0	0.063	20.0	candidate_kenya_pair_001,candidate_kenya_pair_003,candidate_kenya_pair_004,candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_009,candidate_kenya_pair_011,candidate_kenya_pair_014,candidate_kenya_pair_015,candidate_kenya_pair_018,candidate_kenya_pair_019,candidate_kenya_pair_021	.	1	1	2	2	5	5	6	9	2	2	3	3	4	5	False	.	.	False	24	24
ECPAS	5	5	0.12	42.0	0.038	40.0	candidate_kenya_pair_004,candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_014,candidate_kenya_pair_020	.	0	0	4	4	0	0	1	1	0	0	4	4	4	4	False	.	.	False	24	24
HMCN1	6	7	0.122	72.0	0.033	39.0	candidate_kenya_pair_002,candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_009,candidate_kenya_pair_013,candidate_kenya_pair_020	.	0	0	4	4	0	0	2	3	0	0	4	4	4	4	False	.	.	False	24	24
KDM6B	4	5	0.069	78.0	0.035	34.0	candidate_kenya_pair_003,candidate_kenya_pair_007,candidate_kenya_pair_014,candidate_kenya_pair_020	.	0	0	4	4	1	1	0	0	0	0	4	4	4	4	False	.	.	False	24	24
PIK3CA	4	4	0.346	195.5	0.017	84.0	candidate_kenya_pair_007,candidate_kenya_pair_009,candidate_kenya_pair_013,candidate_kenya_pair_014	.	0	0	4	4	0	0	0	0	0	0	4	4	4	4	False	.	.	False	24	24
PRDM2	4	4	0.1005	85.5	0.042499999999999996	38.0	candidate_kenya_pair_003,candidate_kenya_pair_005,candidate_kenya_pair_010,candidate_kenya_pair_015	.	0	0	4	4	0	0	0	0	0	0	4	4	4	4	False	.	.	False	24	24
RECQL4	4	4	0.112	64.0	0.037500000000000006	25.0	candidate_kenya_pair_005,candidate_kenya_pair_010,candidate_kenya_pair_014,candidate_kenya_pair_020	.	0	0	4	4	0	0	0	0	0	0	4	4	4	4	False	.	.	False	24	24
SIGLEC10	4	5	0.078	304.0	0.016	131.0	candidate_kenya_pair_005,candidate_kenya_pair_007,candidate_kenya_pair_013,candidate_kenya_pair_015	.	0	0	4	4	0	0	1	1	0	0	4	4	4	4	False	.	.	False	24	24
WNK2	5	6	0.0765	211.0	0.0155	100.5	candidate_kenya_pair_001,candidate_kenya_pair_004,candidate_kenya_pair_007,candidate_kenya_pair_010,candidate_kenya_pair_019	.	0	0	4	4	1	1	1	1	0	0	4	4	4	4	False	.	.	False	24	24
ANKRD36C	7	18	0.0925	66.5	0.039	38.5	candidate_kenya_pair_003,candidate_kenya_pair_006,candidate_kenya_pair_008,candidate_kenya_pair_010,candidate_kenya_pair_015,candidate_kenya_pair_018,candidate_kenya_pair_021	.	0	0	3	5	1	2	6	11	1	1	3	5	4	6	False	.	.	False	23	23
CEP290	4	5	0.104	44.0	0.038	36.0	candidate_kenya_pair_001,candidate_kenya_pair_008,candidate_kenya_pair_014,candidate_kenya_pair_019	possible_pseudogene_symbol	1	1	3	3	0	0	1	1	0	0	4	4	4	4	True	.	possible_pseudogene_symbol	True	27	22
GOLGA6L2	4	4	0.095	73.5	0.031	51.0	candidate_kenya_pair_004,candidate_kenya_pair_005,candidate_kenya_pair_006,candidate_kenya_pair_007	.	1	1	2	2	0	0	1	1	0	0	3	3	3	3	False	.	.	False	21	21
LRRK2	3	3	0.096	53.0	0.03	46.0	candidate_kenya_pair_007,candidate_kenya_pair_014,candidate_kenya_pair_020	.	1	1	2	2	0	0	0	0	0	0	3	3	3	3	False	.	.	False	21	21
MYO5C	3	3	0.061	88.0	0.024	61.0	candidate_kenya_pair_013,candidate_kenya_pair_015,candidate_kenya_pair_019	.	1	1	2	2	0	0	0	0	0	0	3	3	3	3	False	.	.	False	21	21
