database	gs_name	gs_description	size	ES	mean_rank_metric	median_rank_metric	rank_shift_z	p_up	p_down	pvalue	padj	direction	leadingEdge	term_upper	biology_axis	term_caution_reason	has_term_caution	reporting_tier
KEGG	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	Pathway Definition from KEGG: 40S == mRNA == 60S	79	-0.7566936595760925	-1.3072316627614746	-1.32966108319067	-1.4578321165553223	1.0	8.810769464770013e-29	8.810769464770013e-29	4.995706286524598e-26	down_in_late	RPL17,RPS10,RPS17,RPS16,RPS24,RPL19,RPSA,RPL28,RPL29,RPL26,RPL23,RPS3,RPS3A,RPL7,RPS21,RPS26,RPL18,RPS27,RPL31,RPS15,RPL36,RPL37,RPL41,UBA52,RPS5,RPL8	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	translation_ribosome_RNA	.	False	interpretable_FDR025
REACTOME	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Eukaryotic Translation Elongation	90	-0.7214542894289	-1.1925294592271054	-1.29502681931938	-1.3309560831730551	1.0	6.313313109924953e-27	6.313313109924953e-27	8.889144858774335e-24	down_in_late	RPL26L1,RPL17,RPS10,RPL39L,RPL3L,RPS17,EEF1A2,RPS16,RPS24,RPL19,RPL36AL,EEF1D,RPSA,RPL28,RPL29,RPL26,RPL23,RPS3,RPS3A,RPL7,RPS21,RPS26,RPL18,RPS27,RPL31	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	translation_ribosome_RNA	.	False	interpretable_FDR025
KEGG	KEGG_RIBOSOME	Ribosome	85	-0.7175376298689776	-1.2014432897378329	-1.30829797291938	-1.3408159762055722	1.0	3.261986144141003e-26	3.261986144141003e-26	9.247730718639745e-24	down_in_late	RPL26L1,MRPL13,RPL17,RPS10,RPL3L,RPS17,RPS16,RPS24,RPL19,RPL36AL,RPSA,RPL28,RPL29,RPL26,RPL23,RPS3,RPS3A,RPL7,RPS21,RPS26,RPL18,RPS27,RPL31,RPS15,RPL36,RPL37,RPL41,RPS27L,UBA52,RPS5,RPL8	KEGG_RIBOSOME	translation_ribosome_RNA	.	False	interpretable_FDR025
REACTOME	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	SRP-dependent cotranslational protein targeting to membrane	110	-0.6900179708719217	-1.025215920462691	-1.1420601034588	-1.1458848511001822	1.0	4.054996770887251e-26	4.054996770887251e-26	2.854717726704625e-23	down_in_late	RPL26L1,RPL17,RPS10,RPL39L,RPL3L,RPS17,SRP14,SRP19,SSR4,RPS16,RPS24,RPN2,RPL19,SRP54,SRP68,SEC61A1,SPCS2,RPL36AL,SRPRA,SEC61A2,SSR2,RPSA,RPL28,RPL29,RPL26,SPCS1,SEC11A,SRP72,RPL23,RPS3,TRAM1,SRP9,RPS3A,RPL7,RPN1,RPS21,RPS26,RPL18,RPS27,SPCS3,SSR3,RPL31	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	translation_ribosome_RNA	.	False	interpretable_FDR025
REACTOME	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Response of EIF2AK4 (GCN2) to amino acid deficiency	99	-0.6958491192577448	-1.0939079927955515	-1.23517924871739	-1.2218675035153097	1.0	1.5048475390432976e-25	1.5048475390432976e-25	7.062751116576543e-23	down_in_late	RPL26L1,DDIT3,RPL17,RPS10,RPL39L,RPL3L,RPS17,EIF2AK4,GCN1,TRIB3,RPS16,RPS24,EIF2S1,RPL19,RPL36AL,EIF2S2,CEBPB,RPSA,RPL28,RPL29,RPL26,RPL23,RPS3,RPS3A,RPL7,RPS21,ASNS,RPS26,RPL18,RPS27,IMPACT,RPL31	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	other	.	False	interpretable_FDR025
REACTOME	REACTOME_SELENOAMINO_ACID_METABOLISM	Selenoamino acid metabolism	115	-0.6525939348654554	-0.9605865734397856	-1.10504615574324	-1.074396118210275	1.0	4.123946180082335e-24	4.123946180082335e-24	1.4516290553889819e-21	down_in_late	RPL26L1,PAPSS2,RPL17,RPS10,RPL39L,CTH,CBS,RPL3L,EEFSEC,RPS17,GSR,EEF1E1,MAT1A,MARS1,AHCY,RPS16,EPRS1,RPS24,RPL19,PAPSS1,RPL36AL,DARS1,SEPHS2,RPSA,AIMP2,RPL28,RPL29,RPL26,RPL23,AIMP1,RPS3,RPS3A,GNMT,RPL7,RARS1,RPS21,NNMT,QARS1,RPS26,LARS1,PSTK,KARS1,RPL18,RPS27,RPL31	REACTOME_SELENOAMINO_ACID_METABOLISM	other	.	False	interpretable_FDR025
REACTOME	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	Ribosome-associated quality control	142	-0.619922043886501	-0.8287420841499091	-0.87232394881923	-0.9285584158038168	1.0	1.8706381576221771e-22	1.8706381576221771e-22	5.2677170518640523e-20	down_in_late	RPL26L1,PSMD11,PSMC4,PSMD8,RPL17,RPS10,RPL39L,NEMF,UBE2D2,PSMA1,RPL3L,RPS17,ELOC,PELO,ASCC3,ZNF598,PSMD3,NPLOC4,PSMA3,ABCE1,RPS16,VCP,ANKZF1,RPS24,PSMA2,PSMD1,KLHDC10,ASCC2,RCHY1,RPL19,UBE2D3,RBX1,RPL36AL,PSMD14,PSMB3,PSMB6,UBE2D1,PSMB5,RPSA,RPL28,RPL29,RPL26,RPL23,CUL2,PSMD6,RPS3,UFD1,PSMA4,RPS3A,PSMB4,PSMA7,RPL7,RPS21,TRIP4,PSMD2,UBB,PSMC1,PSMB1,RPS26,PSMD13,RPL18,RPS27,RPL31,UBC	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	translation_ribosome_RNA	.	False	interpretable_FDR025
REACTOME	REACTOME_RRNA_PROCESSING	rRNA processing	208	-0.5498351122821833	-0.6427508797695709	-0.6532674227397746	-0.7228271784898179	1.0	2.3534720091110978e-22	2.3534720091110978e-22	5.522814314714044e-20	down_in_late	MT-RNR2,MT-RNR1,RPL26L1,RIOK1,GNL3,RPL17,RPS10,RPL39L,EXOSC9,RPP30,RPL3L,EXOSC7,NOP2,DDX52,MTERF3,TRMT112,RPS17,MRM2,NOP10,TRUB2,PNO1,UTP15,DCAF13,RPUSD4,LTV1,EXOSC5,BYSL,WDR75,PDCD11,MTREX,EXOSC3,DDX21,ISG20L2,RRP36,RRP1,NOP56,RPP21,RPS16,IMP3,UTP25,RPS24,RPP38,IMP4,DIMT1,CSNK1D,ELAC2,FCF1,RPP14,HEATR1,RPL19,KRR1,NOP58,C1D,DDX47,SENP3,RPL36AL,EMG1,RCL1,NOP14,CSNK1E,TBL3,WDR43,EXOSC4,NIP7,NHP2,MTERF4,XRN2,WDR36,WDR18,RPSA,MPHOSPH6,NGRN,RPL28,RPL29,NAT10,GAR1,RPL26,TRMT10C,RRP9,RPUSD3,NOC4L,DHX37,EXOSC8,NOL11,RPL23,RPS3,UTP14A,UTP6,RPS3A,RCC1L,NOL6,RPL7,EXOSC1,PELP1,WDR3,RPS21,NCL,RPP40,TEX10,HSD17B10,RPS26,PRORP,TFB1M,WDR12,NSUN4,RRP7A,RPL18,RPS27,RPL31,TSR3,MRM1,RIOK2,FBL	REACTOME_RRNA_PROCESSING	translation_ribosome_RNA	.	False	interpretable_FDR025
REACTOME	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Nonsense-Mediated Decay (NMD)	113	-0.657133094486807	-0.9427031322563066	-1.11432443448479	-1.0546146317987692	1.0	4.304853861540281e-22	4.304853861540281e-22	8.658906052926737e-20	down_in_late	RPL26L1,MAGOHB,SMG9,RPL17,RPS10,RPL39L,CASC3,RPL3L,PPP2CA,RPS17,EIF4G1,UPF1,PPP2R1A,RNPS1,RBM8A,RPS16,UPF3B,SMG5,RPS24,SMG1,DCP1A,RPL19,SMG7,RPL36AL,UPF2,RPSA,RPL28,RPL29,EIF4A3,RPL26,PPP2R2A,RPL23,RPS3,GSPT1,RPS3A,NCBP1,RPL7,RPS21,SMG6,RPS26,RPL18,RPS27,ETF1,RPL31	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	other	.	False	interpretable_FDR025
REACTOME	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Regulation of expression of SLITs and ROBOs	154	-0.5818105548903552	-0.7627253551967419	-0.858177526032302	-0.8555350522732252	1.0	1.189400500536762e-21	1.189400500536762e-21	2.093344880944701e-19	down_in_late	RPL26L1,MAGOHB,PSMD11,DAG1,ROBO1,PSMC4,PSMD8,RPL17,ROBO2,SLIT1,RPS10,RPL39L,PSMA1,CASC3,RPL3L,COL4A5,RPS17,ELOC,EIF4G1,PSMD3,LDB1,ROBO3,RNPS1,PSMA3,LHX4,RBM8A,RPS16,UPF3B,LHX2,RPS24,PSMA2,PSMD1,RPL19,RBX1,RPL36AL,MSI1,PSMD14,PSMB3,PSMB6,PSMB5,UPF2,RPSA,RPL28,RPL29,EIF4A3,ZSWIM8,RPL26,RPL23,CUL2,PSMD6,RPS3,PSMA4,GSPT1,RPS3A,HOXA2,NCBP1,PSMB4,PSMA7,RPL7,RPS21,PSMD2,UBB,USP33,PSMC1,PSMB1,RPS26,PSMD13,RPL18,RPS27,ETF1,RPL31,UBC	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	other	.	False	interpretable_FDR025
