target,model,accuracy,accuracy.1,weighted_f1,weighted_f1.1,macro_f1,macro_f1.1,balanced_acc,balanced_acc.1
,,mean,std,mean,std,mean,std,mean,std
diagnosis,gb,0.8113207547169811,0.04002491214263476,0.7889203421397613,0.06855597043033439,0.32561932515932457,0.05974118707082967,0.3255757575757576,0.03856631267597511
diagnosis,logreg,0.8716981132075471,0.0506279542075424,0.8125623919066515,0.07270810604573728,0.3102779448361476,0.009517136446499699,0.3333333333333333,0.0
diagnosis,logreg_bal,0.4679245283018868,0.07710496883661337,0.5622148865148002,0.06187974181598572,0.29714309132653877,0.06901774732659788,0.4892380952380952,0.21572006896952556
diagnosis,rf,0.8566037735849058,0.0509783248532313,0.813528394782618,0.07089761999717642,0.35286474890893865,0.06332833500198036,0.3636700336700337,0.04518021092914053
diagnosis,svm_rbf,0.8716981132075471,0.0506279542075424,0.8125623919066515,0.07270810604573728,0.3102779448361476,0.009517136446499699,0.3333333333333333,0.0
diagnosis,svm_rbf_bal,0.5811320754716981,0.0956512592878232,0.6499140688159508,0.08686362119984582,0.31453208138653366,0.0922296807107447,0.3909126984126984,0.2078549868776361
ihc,gb,0.9509433962264151,0.021512743869795053,0.9508672472477914,0.021740754937150948,0.9320608071320686,0.03422339061845552,0.9392256493506494,0.03724057702702782
ihc,logreg,0.9622641509433961,0.013341637380878252,0.9627273309853399,0.013259177386252504,0.9483592474276928,0.020619796450709795,0.9617256493506494,0.01726558160674054
ihc,logreg_bal,0.9622641509433961,0.013341637380878252,0.9627273309853399,0.013259177386252504,0.9483592474276928,0.020619796450709795,0.9617256493506494,0.01726558160674054
ihc,rf,0.9547169811320755,0.02151274386979505,0.9550358733493761,0.021670022008748742,0.9362134275612849,0.03350914106310907,0.9454756493506494,0.037840302921757385
ihc,svm_rbf,0.9471698113207548,0.02066877575491193,0.9479678198040837,0.02003562636637027,0.9308845407289847,0.03156449163205293,0.9506253293807643,0.021263064502673523
ihc,svm_rbf_bal,0.9433962264150944,0.0231083937998413,0.9441109775093299,0.022670361202876296,0.9284509471907402,0.03324664562610803,0.9483526021080368,0.02386917938048602
laterality,gb,0.44528301886792454,0.045439979542612426,0.4446839826937186,0.0506706979403332,0.2992750651127399,0.029191462171178944,0.3064011387905911,0.03199598891840422
laterality,logreg,0.4981132075471698,0.031572076472983976,0.4929734052772782,0.03845822853896314,0.40228018455572634,0.10841607913574797,0.41480670171238126,0.10438281760826297
laterality,logreg_bal,0.4037735849056604,0.057539436535761934,0.45219986890618086,0.06414612563448496,0.2999930034352585,0.04133367235568387,0.26995090510371106,0.03671052452938572
laterality,rf,0.44150943396226416,0.059065946575466134,0.44176684198914196,0.061378667505599054,0.3292564705022615,0.09583577469454653,0.3344789527328405,0.09415681501322358
laterality,svm_rbf,0.4490566037735849,0.0837446830987628,0.44444395012027166,0.08832807624002523,0.37141400125326035,0.1488236347897778,0.3835844227392571,0.14295510639412531
laterality,svm_rbf_bal,0.44528301886792454,0.049201527586435076,0.464560755573875,0.04487144664711084,0.3419239212003813,0.05576623443029536,0.3836945097323731,0.13674386238921135
Stage,gb,0.792,0.05019960159204451,0.7492610400682012,0.01710847065298251,0.46757601591361186,0.021229685146312113,0.4916666666666666,0.009735373353450089
Stage,logreg,0.8400000000000001,0.0,0.7669565217391304,0.0,0.45652173913043476,0.0,0.5,0.0
Stage,logreg_bal,0.508,0.030331501776206207,0.5708801579729672,0.029899842334528793,0.43799523132223184,0.012879082856159444,0.5047619047619047,0.03714877089673791
Stage,rf,0.788,0.052153619241621194,0.7397442455242966,0.028223677756726982,0.4403239556692243,0.01679980818852796,0.469047619047619,0.03104382097715547
Stage,svm_rbf,0.8400000000000001,0.0,0.7669565217391304,0.0,0.45652173913043476,0.0,0.5,0.0
Stage,svm_rbf_bal,0.636,0.03847076812334273,0.6717935669265446,0.026684696927106264,0.4762457889427368,0.03330964811969381,0.48988095238095236,0.05246881159771191
