fold,target,model,accuracy,weighted_f1
1,stage2,fuzzy_v2_single,0.125,0.09228070175438596
1,diagnosis,fuzzy_v2_single,0.08333333333333333,0.08318236714975846
1,laterality,fuzzy_v2_single,0.4583333333333333,0.2965686274509804
1,ihc,fuzzy_v2_single,0.625,0.4807692307692308
2,stage2,fuzzy_v2_single,0.041666666666666664,0.0753968253968254
2,diagnosis,fuzzy_v2_single,0.20833333333333334,0.18151515151515152
2,laterality,fuzzy_v2_single,0.375,0.22727272727272727
2,ihc,fuzzy_v2_single,0.4583333333333333,0.28809523809523807
3,stage2,fuzzy_v2_single,0.125,0.0926984126984127
3,diagnosis,fuzzy_v2_single,0.041666666666666664,0.0798611111111111
3,laterality,fuzzy_v2_single,0.5833333333333334,0.4298245614035088
3,ihc,fuzzy_v2_single,0.375,0.24347158218125958
4,stage2,fuzzy_v2_single,0.041666666666666664,0.07971014492753624
4,diagnosis,fuzzy_v2_single,0.16666666666666666,0.22117918313570487
4,laterality,fuzzy_v2_single,0.3333333333333333,0.2083333333333334
4,ihc,fuzzy_v2_single,0.3333333333333333,0.16666666666666666
5,stage2,fuzzy_v2_single,0.08333333333333333,0.01282051282051282
5,diagnosis,fuzzy_v2_single,0.08333333333333333,0.01282051282051282
5,laterality,fuzzy_v2_single,0.75,0.6428571428571428
5,ihc,fuzzy_v2_single,0.4166666666666667,0.2450980392156863
6,stage2,fuzzy_v2_single,0.08333333333333333,0.07867494824016565
6,diagnosis,fuzzy_v2_single,0.20833333333333334,0.23324275362318841
6,laterality,fuzzy_v2_single,0.4166666666666667,0.2777777777777778
6,ihc,fuzzy_v2_single,0.375,0.2414874551971326
7,stage2,fuzzy_v2_single,0.041666666666666664,0.003472222222222222
7,diagnosis,fuzzy_v2_single,0.16666666666666666,0.10821123321123322
7,laterality,fuzzy_v2_single,0.4583333333333333,0.3142857142857143
7,ihc,fuzzy_v2_single,0.4583333333333333,0.28809523809523807
8,stage2,fuzzy_v2_single,0.08333333333333333,0.013333333333333332
8,diagnosis,fuzzy_v2_single,0.125,0.09304347826086957
8,laterality,fuzzy_v2_single,0.25,0.1
8,ihc,fuzzy_v2_single,0.3333333333333333,0.16666666666666666
9,stage2,fuzzy_v2_single,0.041666666666666664,0.07971014492753624
9,diagnosis,fuzzy_v2_single,0.16666666666666666,0.1646825396825397
9,laterality,fuzzy_v2_single,0.375,0.20454545454545453
9,ihc,fuzzy_v2_single,0.4166666666666667,0.2823660714285714
10,stage2,fuzzy_v2_single,0.08333333333333333,0.08263888888888889
10,diagnosis,fuzzy_v2_single,0.08333333333333333,0.08318236714975846
10,laterality,fuzzy_v2_single,0.5416666666666666,0.38063063063063063
10,ihc,fuzzy_v2_single,0.25,0.14583333333333331
