fold,target,model,accuracy,weighted_f1
1,stage2,logreg,0.75,0.6428571428571428
2,stage2,logreg,0.7916666666666666,0.6996124031007752
3,stage2,logreg,0.8333333333333334,0.7575757575757576
4,stage2,logreg,0.9166666666666666,0.8768115942028986
5,stage2,logreg,0.75,0.6428571428571428
6,stage2,logreg,0.75,0.6428571428571428
7,stage2,logreg,0.75,0.6428571428571428
8,stage2,logreg,0.75,0.6428571428571428
9,stage2,logreg,0.9166666666666666,0.8768115942028986
10,stage2,logreg,0.7916666666666666,0.6996124031007752
1,stage2,svm_rbf,0.75,0.6428571428571428
2,stage2,svm_rbf,0.7916666666666666,0.6996124031007752
3,stage2,svm_rbf,0.8333333333333334,0.7575757575757576
4,stage2,svm_rbf,0.9166666666666666,0.8768115942028986
5,stage2,svm_rbf,0.75,0.6428571428571428
6,stage2,svm_rbf,0.75,0.6428571428571428
7,stage2,svm_rbf,0.75,0.6428571428571428
8,stage2,svm_rbf,0.75,0.6428571428571428
9,stage2,svm_rbf,0.9166666666666666,0.8768115942028986
10,stage2,svm_rbf,0.7916666666666666,0.6996124031007752
1,stage2,rf,0.7083333333333334,0.6219512195121952
2,stage2,rf,0.7916666666666666,0.6996124031007752
3,stage2,rf,0.8333333333333334,0.7575757575757576
4,stage2,rf,0.8333333333333334,0.8333333333333333
5,stage2,rf,0.75,0.6428571428571428
6,stage2,rf,0.75,0.6585365853658538
7,stage2,rf,0.75,0.6428571428571428
8,stage2,rf,0.75,0.6428571428571428
9,stage2,rf,0.875,0.8555555555555554
10,stage2,rf,0.75,0.6785714285714285
1,stage2,gb,0.6666666666666666,0.6337719298245613
2,stage2,gb,0.75,0.6785714285714285
3,stage2,gb,0.75,0.7317073170731707
4,stage2,gb,0.875,0.8555555555555554
5,stage2,gb,0.6666666666666666,0.6
6,stage2,gb,0.7083333333333334,0.6219512195121952
7,stage2,gb,0.6666666666666666,0.6198830409356725
8,stage2,gb,0.6666666666666666,0.6
9,stage2,gb,0.7916666666666666,0.810077519379845
10,stage2,gb,0.75,0.6785714285714285
1,diagnosis,logreg,0.9166666666666666,0.8768115942028986
2,diagnosis,logreg,0.8333333333333334,0.7575757575757576
3,diagnosis,logreg,0.9583333333333334,0.9379432624113475
4,diagnosis,logreg,0.8333333333333334,0.7575757575757576
5,diagnosis,logreg,0.875,0.8166666666666667
6,diagnosis,logreg,0.875,0.8166666666666667
7,diagnosis,logreg,0.8333333333333334,0.7575757575757576
8,diagnosis,logreg,0.9166666666666666,0.8768115942028986
9,diagnosis,logreg,0.7916666666666666,0.6996124031007752
10,diagnosis,logreg,0.9166666666666666,0.8768115942028986
1,diagnosis,svm_rbf,0.9166666666666666,0.8768115942028986
2,diagnosis,svm_rbf,0.8333333333333334,0.7575757575757576
3,diagnosis,svm_rbf,0.9583333333333334,0.9379432624113475
4,diagnosis,svm_rbf,0.8333333333333334,0.7575757575757576
5,diagnosis,svm_rbf,0.875,0.8166666666666667
6,diagnosis,svm_rbf,0.875,0.8166666666666667
7,diagnosis,svm_rbf,0.8333333333333334,0.7575757575757576
8,diagnosis,svm_rbf,0.9166666666666666,0.8768115942028986
9,diagnosis,svm_rbf,0.7916666666666666,0.6996124031007752
10,diagnosis,svm_rbf,0.9166666666666666,0.8768115942028986
1,diagnosis,rf,0.9166666666666666,0.8768115942028986
2,diagnosis,rf,0.7916666666666666,0.7364341085271319
3,diagnosis,rf,0.9583333333333334,0.9379432624113475
4,diagnosis,rf,0.8333333333333334,0.7575757575757576
5,diagnosis,rf,0.875,0.8166666666666667
6,diagnosis,rf,0.875,0.8166666666666667
7,diagnosis,rf,0.8333333333333334,0.7575757575757576
8,diagnosis,rf,0.9166666666666666,0.8768115942028986
9,diagnosis,rf,0.7916666666666666,0.6996124031007752
10,diagnosis,rf,0.9166666666666666,0.8768115942028986
